Question,Options,Correct Option,CourtEasy-v1 Response,Evaluation,Comments (Optional)
" X intentionally pulls up a woman's veil without her consent intending to annoy her. As per the Indian Penal Code, 1860 which of the following offence has he committed?","Options:
A. Hurt
B. Criminal force
C. Assault
D. Grievous hurt",B,"The correct answer is: B. Criminal force.

Detailed Explanation:

Under the Indian Penal Code, 1860, ""criminal force"" is defined in Section 350. According to this section, whoever intentionally uses force to any person, without that person's consent, in order to commit any offence, or intending to cause, or knowing it to be likely that he will thereby cause injury, fear or annoyance to the person to whom the force is used, is said to use criminal force to that other.

In the scenario described, X intentionally pulls up a woman's veil without her consent, intending to annoy her. This act involves the use of force (pulling up the veil), is without consent, and is done with the intention to annoy. This fits squarely within the definition of ""criminal force"" under Section 350 of the IPC.

- ""Hurt"" (Section 319) involves causing bodily pain, disease, or infirmity, which is not the case here.
- ""Assault"" (Section 351) is an act that creates apprehension of the use of criminal force, but here, actual force is used.
- ""Grievous hurt"" (Section 320) involves serious bodily injury, which is not present in this scenario.

Therefore, the correct offence committed by X is ""criminal force"" as per the Indian Penal Code, 1860.",Correct,
" What punishment is prescribed under the Indian Penal Code, 1860 for a person who maims any minor in order that such minor may be used for the purposes of begging?","Options:
A. Imprisonment for 5 years and fine
B. Imprisonment for 7 years and fine
C. Imprisonment for 10 years and fine
D. Imprisonment for life and fine",D,"Under the Indian Penal Code, 1860, Section 363A specifically deals with the punishment for maiming a minor for the purpose of begging. According to Section 363A(2), whoever maims any minor in order that such minor may be employed or used for the purposes of begging shall be punished with imprisonment for life and shall also be liable to fine.

Therefore, the correct option is:
D. Imprisonment for life and fine

Detailed Explanation:
Section 363A(2) of the IPC states: ""Whoever maims any minor in order that such minor may be employed or used for the purposes of begging shall be punished with imprisonment for life, and shall also be liable to fine."" This provision is intended to deter and severely punish the exploitation and physical harm of minors for the purpose of begging.",Correct,
" X threatens to publish a defamatory libel concerning Y unless Y gives him money. Which of the following punishment may be given to X for the act committed by him as per the Indian Penal Code, 1860?","Options:
A. Imprisonment up to 2 years, or with fine or with both.
B. Imprisonment up to 3 years, or with fine or with both.
C. Imprisonment up to 5 years, or with fine or with both.
D. Imprisonment up to 7 years, or with fine or with both.",B,"The act described—X threatening to publish a defamatory libel concerning Y unless Y gives him money—constitutes the offence of extortion under the Indian Penal Code, 1860 (IPC). Specifically, Section 388 of the IPC deals with ""Extortion by threat of accusation of an offence punishable with death or imprisonment for life, etc."" and includes threats to publish defamatory matter.

Section 388 states that whoever commits extortion by putting any person in fear of an accusation against that person (or any other), intending to cause harm to reputation, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. However, when the threat is to publish a defamatory libel (not an accusation of a serious offence), Section 389 is not attracted, but Section 384 (general extortion) and Section 500 (defamation) may be relevant.

Section 384 IPC prescribes the punishment for extortion as imprisonment of either description for a term which may extend to three years, or with fine, or with both.

Therefore, the correct option is:

B. Imprisonment up to 3 years, or with fine or with both.

Detailed reasoning: X's act amounts to extortion as per Section 384 IPC, since he is threatening to harm Y's reputation (by publishing a defamatory libel) unless Y gives him money. The punishment for such extortion is imprisonment up to 3 years, or with fine, or with both.",Correct,
" Which of the following sentence is an Assistant Sessions Judge authorised to pass as per the Code of Criminal Procedure, 1973?","Options:
A. Sentence of death.
B. Sentence of imprisonment for life.
C. Sentence of imprisonment for a term not exceeding ten years.
D. Sentence of imprisonment for a term exceeding ten years.",C,"An Assistant Sessions Judge may pass any sentence authorized by law except a sentence of death or of imprisonment for life or of imprisonment for a term exceeding ten years. Therefore, the correct answer is C. Sentence of imprisonment for a term not exceeding ten years.",Correct,
" A person arrested by a private person for committing a non-bailable and cognizable offence shall be re-arrested by a police officer if such person comes under which of the following provision of the Code of Criminal Procedure, 1973?","Options:
A. Section 41
B. Section 41A
C. Section 42
D. Section 43",D,"The correct provision of the Criminal Procedure Code, 1973, regarding the re-arrest of a person by a police officer after being arrested by a private person for committing a non-bailable and cognizable offence is Section 43.

Section 43 of the CrPC deals with the arrest by private persons and the procedure to be followed. According to Section 43(1), any private person may arrest or cause to be arrested any person who in his view has committed a non-bailable and cognizable offence, or any proclaimed offender, and, without unnecessary delay, shall make over or cause to be made over any person so arrested to a police officer, or, in the absence of a police officer, take such person to the nearest police station.

Section 43(2) further provides that if there is reason to believe that such person comes under the provisions of Section 41 (which deals with when police may arrest without warrant), a police officer shall re-arrest him.

Therefore, the correct answer is:

D. Section 43

Section 43 specifically provides for the procedure when a private person arrests someone for a non-bailable and cognizable offence, and it mandates that the police officer shall re-arrest the person if he comes under the provisions of Section 41.",Correct,
" Under which of the following situation wife is not entitled for maintenance under Section 125 of the Code of Criminal Procedure, 1973?","Options:
A. Husband presumes that wife is living in adultery.
B. Voluntarily wife refuses to live with husband.
C. Wife living separately as husband keeps a mistress.
D. Wife is forcefully removed from the house.",B,"Under Section 125 of the Criminal Procedure Code, 1973, a wife is not entitled to maintenance in certain circumstances. The relevant statutory provisions are as follows:

Section 125(4) of the CrPC states that no wife shall be entitled to receive an allowance for maintenance from her husband under this section if she is living in adultery, or if, without any sufficient reason, she refuses to live with her husband, or if they are living separately by mutual consent.

Now, let us analyze each option:

A. Husband presumes that wife is living in adultery.  
A mere presumption by the husband is not sufficient. The law requires proof that the wife is actually living in adultery. So, this is not correct.

B. Voluntarily wife refuses to live with husband.  
If the wife refuses to live with her husband without sufficient reason, she is not entitled to maintenance under Section 125(4). This is a correct ground for denial of maintenance.

C. Wife living separately as husband keeps a mistress.  
If the husband keeps a mistress, the wife has a sufficient reason to live separately and is still entitled to maintenance.

D. Wife is forcefully rem",Incorrect,Withdrawn
" Which of the following procedure is dealt under Section 164-A of the Code of Criminal Procedure, 1973?","Options:
A. Medical examination of the victim of rape.
B. Attendance of witness by police officer.
C. Recording of confession statement.
D. Recording of first information report by police officer.",A,"Section 164-A of the Criminal Procedure Code, 1973 deals with the ""Medical examination of the victim of rape."" This section was inserted to ensure that the victim of rape is medically examined promptly and in accordance with the law, so that necessary evidence can be collected and preserved for the investigation and trial.

Section 164-A lays down the procedure for the medical examination, including who can conduct the examination (a registered medical practitioner), the time frame within which it should be done (within 24 hours of receiving information), and the requirement to forward the medical report to the investigating officer.

Therefore, the correct option is:

A. Medical examination of the victim of rape.",Correct,
" Which of the following is incorrect with respect to diary of proceedings in investigation as per the Code of Criminal Procedure, 1973?","Options:
A. The statements of witnesses recorded during investigation shall be inserted in the diary.
B. The diary shall be duly paginated.
C. The diary may be used as evidence.
D. Can be used by the police officers to refresh memory.",C,"The incorrect statement with respect to the diary of proceedings in investigation as per the Criminal Procedure Code (CrPC), 1973 is C. The diary may be used as evidence. According to the CrPC, the diary is not to be used as evidence in the case but may be used to aid the court in its inquiry or trial.",Correct,
" In which of the following cases manner of committing offence is not required to be mentioned in the charge as per the Code of Criminal Procedure, 1973?","Options:
A. A is accused of the theft of a certain article at a certain time and place.
B. A is accused of cheating B at a given time and place.
C. A is accused of disobeying a direction of the law with intent to save B from punishment.
D. A is accused of giving false evidence at a given time and place.",A,"The manner of committing the offence is not required to be mentioned in the charge in the following case: A. A is accused of the theft of a certain article at a certain time and place.According to the Code of Criminal Procedure, 1973, the charge for theft need not set out the manner in which the theft was effected.",Correct,
" Which of the following offences may be tried summarily as per the Code of Criminal Procedure, 1973?","Options:
A. Offence under Section 454 of the IPC.
B. Offence under Section 504 of the IPC.
C. Offence punishable with imprisonment for a term not exceeding two years.
D. Offence punishable with life imprisonment.",C,"Under the Code of Criminal Procedure, 1973 (CrPC), summary trials are governed by Sections 260 to 265. Section 260(1) of the CrPC specifies the types of offences that may be tried summarily by a Magistrate of the First Class. The relevant categories include:

- Offences not punishable with death, imprisonment for life, or imprisonment for a term exceeding two years.
- Certain specific offences under the Indian Penal Code (IPC), such as theft (Section 379, 380, 381), receiving or retaining stolen property (Section 411), assisting in concealment of stolen property (Section 414), and others, provided the value of the property does not exceed a specified amount.

Now, considering the options:

A. Offence under Section 454 of the IPC (Lurking house-trespass or house-breaking in order to commit offence punishable with imprisonment): This offence is punishable with imprisonment up to three years, or with fine, or with both. Since the punishment exceeds two years, it cannot be tried summarily.

B. Offence under Section 504 of the IPC (Intentional insult with intent to provoke breach of the peace): This offence is punishable with imprisonment up to two years, or with fine, or with both. This falls within the limit for summary trial.

C. Offence punishable with imprisonment for a term not exceeding two years: As per Section 260(1), such offences may be tried summarily.

D. Offence punishable with life imprisonment: Offences punishable with life imprisonment cannot be tried summarily.

Therefore, the correct options are:

B. Offence under Section 504 of the IPC, where IPC refers to Indian Penal Code;
C. Offence punishable with imprisonment for a term not exceeding two years.

Detailed reasoning: Only those offences which are not punishable with death, imprisonment for life, or imprisonment for a term exceeding two years may be tried summarily under the CrPC. Offences under Section 504 IPC and any offence punishable with imprisonment not exceeding two years satisfy this requirement. Offences under Section 454 IPC and those punishable with life imprisonment do not qualify for summary trial.",Correct,Withdrawn
" Which of the following Section of the Code of Criminal Procedure, 1973 provides for reference to High Court?","Options:
A. Section 275
B. Section 325
C. Section 383
D. Section 395",D,"Section 395 of the Code of Criminal Procedure, 1973 (CrPC) provides for reference to the High Court. This section deals with situations where a court is faced with a question as to the validity of any Act, ordinance, or regulation and feels that the question is of such a nature that it should be decided by the High Court. In such cases, the court may refer the question to the High Court for its decision.

The correct option is: D. Section 395.

Detailed Explanation:
Section 395 CrPC empowers a court to refer a case to the High Court if it involves a question regarding the validity of any law, ordinance, or regulation, and the court is of the opinion that such a question is necessary to be decided for the disposal of the case. The High Court then decides the question and sends its judgment back to the referring court, which will then dispose of the case in accordance with the High Court's decision.

The other options are not related to reference to the High Court:
- Section 275 deals with the record in warrant cases.
- Section 325 deals with the procedure when Magistrate cannot pass a sufficiently severe sentence.
- Section 383 deals with the procedure when an appellant is in jail and cannot present the appeal in person.

Therefore, the correct answer is D. Section 395.",Correct,
" A person accused of the following offence may not be granted bail under Section 438 of the Code of Criminal Procedure, 1973: i. Accused of offence under Section 376AB of the IPC. ii. Accused of offence under Section 376DA of the IPC. iii. Accused of offence under Section 376DB of the IPC.","Options:
A. i & ii
B. ii & iii
C. iii & i
D. i, ii & iii",D,"Section 438 of the Code of Criminal Procedure, 1973 (CrPC) deals with the provision of anticipatory bail. However, the proviso to Section 438(1) specifically restricts the grant of anticipatory bail to persons accused of certain offences under the Indian Penal Code (IPC).

As per the proviso to Section 438(1), anticipatory bail shall not be granted to a person accused of having committed an offence under:

- Section 376(3) of the IPC (rape of a woman under sixteen years of age),
- Section 376AB of the IPC (rape of a woman under twelve years of age),
- Section 376DA of the IPC (gang rape of a woman under sixteen years of age),
- Section 376DB of the IPC (gang rape of a woman under twelve years of age).

Therefore, a person accused of an offence under Section 376AB, Section 376DA, or Section 376DB of the IPC is not eligible to be granted anticipatory bail under Section 438 of the CrPC.

Correct option: All of the above (i, ii, and iii).",Correct,
" Which of the following act if done by any Magistrate, even in good faith without being empowered, shall vitiate the proceedings as per the Code of Criminal Procedure, 1973?","Options:
A. Tender a pardon under Section 306 of CrPC.
B. Recall a case and try it under Section 410 of the CrPC.
C. Attaches property under Section 83 of the CrPC.
D. Hold an inquest under Section 176 of the CrPC.",C,"The correct answer is:  
A. Tender a pardon under Section 306 of the CrPC (Criminal Procedure Code).

Detailed Explanation:

Section 460 and Section 461 of the Code of Criminal Procedure, 1973, deal with irregularities committed by Magistrates. Section 460 lists certain acts done by a Magistrate not empowered by law to do them, but if done in good faith, the proceedings are not vitiated. Section 461, on the other hand, lists acts which, if done by a Magistrate not empowered by law, shall vitiate the proceedings.

Section 461(g) specifically states that if any Magistrate, not being empowered by law in this behalf, tenders a pardon under Section 306, the proceedings shall be void. This means that the act of tendering a pardon under Section 306 by a Magistrate who is not empowered to do so, even if done in good faith, will vitiate the proceedings.

The other options:

- Recall a case and try it under Section 410 (Option B)
- Attach property under Section 83 (Option C)
- Hold an inquest under Section 176 (Option D)

These acts, if done by a Magistrate not empowered, are covered under Section 460, which states that such acts, if done in good faith, do not vitiate the proceedings.

Therefore, the only act among the options that will vitiate the proceedings if done by a Magistrate not empowered, even in good faith, is:

A. Tender a pardon under Section 306 of the CrPC.",Incorrect,Withdrawn
" Which of the following is material for deciding the jurisdiction of the Civil Court in the light of the Code of Civil Procedure, 1908?","Options:
A. Averments made in the plaint
B. Averments made in the written statement
C. Both (A) & (B)
D. Neither (A) nor (B)",A,"The determination of the jurisdiction of a Civil Court under the Code of Civil Procedure, 1908 (CPC), is primarily based on the averments made in the plaint. According to settled legal principles and judicial precedents, it is the statements and facts as pleaded by the plaintiff in the plaint that are material for deciding whether the court has jurisdiction to entertain the suit.

Section 9 of the CPC provides that the courts shall have jurisdiction to try all suits of a civil nature except those which are expressly or impliedly barred. The Supreme Court of India, in several cases, has clarified that the jurisdiction of the court is to be determined on the basis of the allegations made in the plaint and not on the defence taken in the written statement.

Key Case Law:
- In the case of Abdulla Bin Ali v. Galappa, AIR 1985 SC 577, the Supreme Court held that the jurisdiction of the court is to be determined on the basis of the allegations made in the plaint and not on the allegations made in the written statement.
- Similarly, in the case of Sopan Sukhdeo Sable v. Assistant Charity Commissioner, (2004) 3 SCC 137, the Supreme Court reiterated that the question of jurisdiction has to be determined on the basis of the averments made in the plaint and not on the defence taken in the written statement.

Therefore, the correct answer is:

A. Averments made in the plaint

Only the averments made in the plaint are material for deciding the jurisdiction of the Civil Court under the Code of Civil Procedure, 1908.",Correct,
